Image Link,Title,Price,Subtitle,Text Preview,View Count
https://krisha-photos.kcdn.online/webp/a8/a8530a5d-a1c8-475e-a4b0-d973269beb3a/1-400x300.jpg,1-комнатная квартира · 30 м² · 5/9 этаж · помесячно,170 000 〒,"Наурызбайский р-н, Жунисова 12/3 — Жунисова","жил. комплекс Alma City, меблирована полностью, Сдам квартиру-студию, евроремонт, кондиционер, умный телевизор, Wi-Fi, тропический душ, только порядочной, молодой семье без вредных привычек, без животных! на длительный срок+ коммуналка +50 тыс депозит",
https://krisha-photos.kcdn.online/webp/e5/e52694f6-690d-4350-843a-fadcf23924c4/1-400x300.jpg,4-комнатная квартира · 136 м² · 7/21 этаж · помесячно,900 000 〒,"Медеуский р-н, мкр Самал-2, Достык 97б","жил. комплекс Самал Делюкс, кирпичный дом, 2008 г.п., жил. площадь 90 м², меблирована полностью, Квартира от хозяина без риэлторов. Просторная, светлая, с видом на Кок Тобе, итальянской мебелью. Паркинг. 3 спальни, большой зал, 2 с/у, кладовка. 900 000+ коммунальные, возможно оформление через ИП. П…",
https://krisha-photos.kcdn.online/webp/6f/6f9823ff-7755-4ba1-9e7c-96a18dd3c4ba/1-400x300.jpg,1-комнатная квартира · 41 м² · 3/9 этаж · помесячно,200 000 〒,"Бостандыкский р-н, Гагарина 152","меблирована полностью, Чистая и аккуратная квартира. Депозит 200000 тг. Срок аренды Минимум на 6 месяцев. Очень добродушная и адекватная хозяйка квартиры!",
https://krisha-photos.kcdn.online/webp/de/de9e56e9-0c31-4a98-ae89-cc8f0d763dcd/5-400x300.jpg,1-комнатная квартира · 25 м² · 3/5 этаж · помесячно,130 000 〒,"Жетысуский р-н, Казакова 9а/1 — Возле ТРЦ ""Максима""","меблирована полностью, ОБЩЕЖИТИЕ 5-и этажное благоустроенное, находится в районе ТРЦ ""Максима"" комната студия: чистая, уютная, теплая. Жители порядочные, чистоплотные, спокойные, все занятые люди. Развитая инфроструктура. Все необходимое в шаговой доступности: 2-школы, 1-государственный и 6-частн…",
https://krisha-photos.kcdn.online/webp/dd/dd116a69-1858-46aa-9e7a-a99c5fbe6508/1-400x300.jpg,1-комнатная квартира · 41 м² · 3/5 этаж · помесячно,330 000 〒,"Медеуский р-н, Кабанбай батыра 65 — Пушкина",меблирована полностью,
https://krisha-photos.kcdn.online/webp/9d/9d876e75-f861-4e9c-bfed-922c63774ea6/1-400x300.jpg,2-комнатная квартира · 75 м² · 5/12 этаж · помесячно,400 000 〒,"Алмалинский р-н, мкр Тастак-2, Тургут Озала — Уг ул Абая","жил. комплекс O'NER, меблирована полностью, 🔹 Уют и комфорт в центре! 2-комнатная с изолированной кухней | 75 м² | — ЖК O’NER | Bi Group | Абая–Тургут Озала Предлагается в аренду светлая, просторная 2-комнатная квартира с изолированной кухней, в современном жилом комплексе ЖК O’NER от Bi Group…",
https://krisha-photos.kcdn.online/webp/30/30ef49fc-3913-45eb-a495-1bd24740b7bf/1-400x300.jpg,2-комнатная квартира · 50 м² · 17/20 этаж · помесячно,500 000 〒,"Бостандыкский р-н, Гагарина 310","жил. комплекс Комфорт Сити, меблирована полностью, Новая квартира в Жк Комфорт сити, по всем вопросам звоните по указанному номеру",
https://krisha-photos.kcdn.online/webp/16/169ad72d-4ab6-4122-91d7-480058c93f28/1-400x300.jpg,2-комнатная квартира · 50 м² · 8/12 этаж · помесячно,340 000 〒,"Алмалинский р-н, Толе би 189/3 — Гагарина","жил. комплекс Nomad, меблирована полностью, 🏡 Сдается 2-комнатная квартира в центре Алматы! 🌟 чистоплотным, порядочным на долгий срок! Квартира после косметического ремонта и генеральной уборки! 📍 Местоположение: сердце города — шаговая доступность до всех ключевых объектов инфраструктуры: магази…",
https://krisha-photos.kcdn.online/webp/3d/3d73d26b-bd4c-4913-9c02-23d8ab73bfd2/1-400x300.jpg,2-комнатная квартира · 70 м² · 2/5 этаж · помесячно,630 000 〒,"Медеуский р-н, мкр Коктобе, Сагадат Нурмагамбетова — Восточнои обьезднои","жил. комплекс Koktobe city, меблирована полностью",
https://krisha-photos.kcdn.online/webp/d1/d1e1349e-9bf4-403d-a80f-4642b7fecaf8/1-400x300.jpg,1-комнатная квартира · 30 м² · 8/12 этаж · помесячно,200 000 〒,"Алатауский р-н, мкр Аккент, Райымбека — Яссауи","жил. комплекс Аккент, Квартира студия со свежим евроремонтом всё новое, полностью меблированная с новой техникой, чистоплотным порядочным людям, коммунальные, возвратный депозит, на длительный срок, риэлторские услуги",
https://krisha-photos.kcdn.online/webp/42/42ce8420-30b4-434d-8eb8-6e65d92f39c2/1-400x300.jpg,1-комнатная квартира · 42 м² · 12/13 этаж · помесячно,300 000 〒,"Алмалинский р-н, Муратбаева 14/5","жил. комплекс 12 месяцев, меблирована полностью, Сдам 1-комн квартиру, квартира после ремонта, мебель новая, полностью обустроена, новая техника. Имеется кондиционер, очень развитая инфраструктура. Депозит 100 к, обязательно",
https://krisha-photos.kcdn.online/webp/9b/9bbf45ba-94b7-43ab-a69b-d444b046023f/11-400x300.jpg,1-комнатная квартира · 40 м² · 2/9 этаж · помесячно,200 000 〒,"Ауэзовский р-н, мкр Жетысу-2 — Абая Саина","меблирована полностью, Уютная тёплая квартира в хорошем районе всё необходимое есть, стиралка автомат, микроволновка, большой холодильник, гардеробная с вместительным шкафом с антресолями, балкон со шкафами всё рядом остановки магазины +коммунальные риэлторские услуги",
https://krisha-photos.kcdn.online/webp/13/131244c0-a76c-4540-8851-01d7e4e10285/1-400x300.jpg,2-комнатная квартира · 66 м² · 13/17 этаж · помесячно,370 000 〒,"Алмалинский р-н, Толе би 181 — Ауэзова","жил. комплекс ASSEM PLAZA, монолитный дом, 2020 г.п., жил. площадь 46 м², кухня 20 м², потолки 3м., санузел совмещенный, телефон: есть возможность подключения, интернет проводной, меблирована полностью, Новая квартира в новом элитном ЖК Аssem Plaza бизнес класса в центре города. В квартире есть в…",
https://krisha-photos.kcdn.online/webp/43/433ccf9e-0d21-477c-aeb9-155f7460b381/1-400x300.jpg,2-комнатная квартира · 66 м² · 9/16 этаж · помесячно,260 000 〒,"Алатауский р-н, мкр Аккент, Мкр.Аккент 54","жил. комплекс Аккент, меблирована полностью, Аренда + ком. услуга. Новый большой угловой диван в зале, новый дорогой ортопедический матрас в спальне. Вся новая бытовая техника (Beko, Samsung, Bosch), фильтр для воды Аквафор новые картриджы, гостевой стол трансформер. есть Депозит - возвращается п…",
https://krisha-photos.kcdn.online/webp/4a/4a8181be-886f-4bbe-8c41-ca8155faeee0/15-400x300.jpg,3-комнатная квартира · 60 м² · 5/5 этаж · помесячно,300 000 〒,"Алмалинский р-н, Карасай батыра 180 — Жарокова","меблирована полностью, 3х комнатная уютная квартира полностью меблирована, отличный район, двор, дом тихий и спокойный, во дворе парковка, хорошие соседи, все в шаговой доступности, удобные транспортные развязки, городской транспорт, школы, супермаркеты, детсады, магазины, установлен фильтр для…",
https://krisha-photos.kcdn.online/webp/87/87f10fb5-18f8-4cf9-bdcc-72cc0f427c47/1-400x300.jpg,3-комнатная квартира · 55 м² · 1/3 этаж · помесячно,280 000 〒,"Турксибский р-н, Акан серы — Спартака","меблирована полностью, Отличная квартира в центре Алматы-1. Рядом остановка, магазины, школы, детские сады",
https://krisha-photos.kcdn.online/webp/12/12f16bc9-4ff9-4828-835e-e4b684ef99cd/20-400x300.jpg,2-комнатная квартира · 46 м² · 1/2 этаж · помесячно,210 000 〒,"Бостандыкский р-н, Жарокова — Жарокова Сатпаева","меблирована полностью, Квартира чистая после ремонта, комнаты, смежные, 1 этаж, кирпичный дом толстые стены зимой тепло, летом прохладно, на окнах хорошие решетки, двойная дверь и при желание можно подключить охрану вся аппаратура в наличии. Рядом метро, остановка, есть все необходимое, вай-фай…",
https://krisha-photos.kcdn.online/webp/ac/ace1ef26-7e19-4ec6-be3c-45a9086a6ac6/1-400x300.jpg,2-комнатная квартира · 48 м² · 3/5 этаж · помесячно,200 000 〒,"Алатауский р-н, мкр Саялы — Ак-кайнар","меблирована частично, Квартира после ремонта, в отличном состоянии, частично мебелирована, стиралка автомат, холодильник, кухонныйы гарнитур имеется, могут частично по желанию поставить диван или кровать. Из 1 комнатной перепланирована на 2х комнатную, кухня перенесена на балкон, вместо кухни спал…",
https://krisha-photos.kcdn.online/webp/5a/5a405554-8a96-4367-93bd-c42836adca2d/1-400x300.jpg,1-комнатная квартира · 35 м² · 7/9 этаж · помесячно,180 000 〒,"Наурызбайский р-н, мкр Шугыла, Мкр. Шугыла 340/35 к1","жил. комплекс Alem city 2, меблирована полностью",
https://krisha-photos.kcdn.online/webp/07/0733e2b5-fc26-403e-ab6a-375b7f81b5ed/1-400x300.jpg,2-комнатная квартира · 65 м² · 12/12 этаж · помесячно,380 000 〒,"Бостандыкский р-н, Сатпаева 90а — Туркебаева - Сатпаева","жил. комплекс Акварель, меблирована полностью, Сдается светлая просторная 2-комнатная квартира в одном из самых приятных ЖК у АДК - Акварель (комфорт-класс +). Вид на горы 🏔️ Проживание с животными обсуждается индивидуально. Отдельная Кухня, зал, спальня. Диван большой раскладной, в зале S…",
https://krisha-photos.kcdn.online/webp/56/5618b989-cdf9-46bb-b015-be62b3036bdd/75-400x300.jpg,2-комнатная квартира · 85 м² · 7/15 этаж · помесячно,370 000 〒,"Бостандыкский р-н, Сатпаева 9б — Сатпаева - Сейфуллина","жил. комплекс Алтын Заман, меблирована полностью, Сдается светлая просторная 2-комнатная квартира с Отдельной кухней в ЖК Алтын Заман. Можно с животными, обсуждается индивидуально. ЖК проверенный временем. Вид на горы ⛰️ В квартире просторная кухня, изолированный зал со SMART-TV и спальня. В…",
https://krisha-photos.kcdn.online/webp/3f/3fb3758f-e273-402b-8962-38431de13390/3-400x300.jpg,2-комнатная квартира · 67 м² · 13/16 этаж · помесячно,500 000 〒,"Бостандыкский р-н, Розыбакиева — Ескараева","жил. комплекс Estet, жил. площадь 50 м², кухня 50 м², меблирована полностью, После ремонта. Все новое. Только закончили, еще никто не жил. все необходимое есть для комфортного проживания. Сдаю семейной паре или одному человеку БЕЗ ДЕТЕЙ и ЖИВОТНЫХ! Я хозяйка, не риэлтор. Имеется страховой депози…",
https://krisha-photos.kcdn.online/webp/cf/cf254d7b-efe9-480d-9419-ee4ed920691b/1-400x300.jpg,1-комнатная квартира · 30 м² · 8/10 этаж · помесячно,190 000 〒,"Турксибский р-н, Сейфуллина 51/9 — Майбороды","жил. комплекс Теремки, жил. площадь 28 м², кухня 28 м², меблирована полностью, Квартира студия, в отличном состоянии, Хорошее расположение, развитая инфраструктура, Район первой Алматы, Все рядом. Все необходимое имеется для комфортного проживания. Есть страховой возвратный депозит в размере…",
https://krisha-photos.kcdn.online/webp/5a/5abba260-636e-462f-8e34-34227222c867/29-400x300.jpg,2-комнатная квартира · 98 м² · 13/16 этаж · помесячно,180 000 〒,"Наурызбайский р-н, Жуалы","жил. комплекс Премьера, меблирована частично, Развитая инфраструктура, всё что необходимое в шаговой доступности",
https://krisha-photos.kcdn.online/webp/97/971cc03d-cc05-4b52-a26f-fc819c1e4f8d/1-400x300.jpg,2-комнатная квартира · 50 м² · 14/15 этаж · помесячно,270 000 〒,"Алмалинский р-н, Райымбека 210","жил. комплекс Auezov City, меблирована частично, Сдается стильная и уютная 2-комнатная квартира в ЖК Auezov City Адрес: пр. Райымбека, 210, Алмалинский район, город Алматы Площадь: 50 кв/м | Этаж: 14 из 15 Тип дома: монолитный | Потолки: 2.7 м Отопление: автономное | Лифт: пассажирский и грузов…",
https://krisha-photos.kcdn.online/webp/4b/4bb292a0-a94a-4f22-9370-112c7b73d2aa/9-400x300.jpg,1-комнатная квартира · 40 м² · 4/9 этаж · помесячно,180 000 〒,"Алмалинский р-н, Толе би 206 — Гагарина","меблирована полностью, Сдаётся 1-комнатная квартира на Толеби Розыбакиева! Лучшее предложение! Уютная, светлая 1-комнатная квартира Полностью меблирована Вся бытовая техника: холодильник, стиральная машина, плита, телевизор Чистый подъезд и спокойные соседи Преимущества: Отличное расположение: р…",
https://krisha-photos.kcdn.online/webp/90/90f4b489-14f6-467d-89c0-1ff31e59b547/1-400x300.jpg,1-комнатная квартира · 15 м² · 1/5 этаж · помесячно,140 000 〒,"Ауэзовский р-н, Утеген батыра 71а","меблирована полностью, Гранд парк. депозит 40тыс",
https://krisha-photos.kcdn.online/webp/30/30fcf219-b1e5-49ab-8439-85a4af6d5bae/1-400x300.jpg,2-комнатная квартира · 65 м² · 6/9 этаж · помесячно,350 000 〒,"Бостандыкский р-н, мкр Алмагуль, Жарокова 275","меблирована полностью, Квартира находится в очень хорошем районе. Во дворе детский сад, через дорогу парк, частная клиника, супермаркет сзади дома. Квартира в хорошем состоянии. Долгое время сдавалась семейной паре. Депозит 200 тысяч. Риелторов прошу не беспокоить",
https://krisha-photos.kcdn.online/webp/99/99813522-56e4-465c-aa32-a07c06e7e8f2/30-400x300.jpg,2-комнатная квартира · 64 м² · 10/19 этаж · помесячно,850 000 〒,"Бостандыкский р-н, Аль-Фараби 41","жил. комплекс Metropole, меблирована полностью, Сдается квартира на длительный срок в хорошие руки. Сделан дизайнерский свежий ремонт. Полностью оснащена всей необходимой дорогой новой техникой",
https://krisha-photos.kcdn.online/webp/59/59bcee0e-8ced-47f1-a201-83017cdbe6fe/1-400x300.jpg,2-комнатная квартира · 46 м² · 1/4 этаж · помесячно,270 000 〒,"Ауэзовский р-н, мкр №1 5 — Жубанова Саина","меблирована полностью, Сдаётся 2х комнатная квартира, полностью мебелированная, со всеми удобствами, чистая, аккуратная. Не более 3х человек. Рядом находится вся необходимая инфраструктура-рынок, Грэнд парк, поликлиника, школы, садики, остановки во все направления. Семейным, чистоплотным, бе…",
https://krisha-photos.kcdn.online/webp/bb/bba7db24-80cc-46ff-a792-446ba5027824/1-400x300.jpg,2-комнатная квартира · 65 м² · 14/20 этаж · помесячно,470 000 〒,"Бостандыкский р-н, Гагарина 310","жил. комплекс Комфорт Сити, меблирована полностью",
https://krisha-photos.kcdn.online/webp/05/05c43756-59db-41b4-95c8-22c3052989a2/1-400x300.jpg,2-комнатная квартира · 53 м² · 10/18 этаж · помесячно,380 000 〒,"Бостандыкский р-н, Жандосова","жил. комплекс RAMS CITY, меблирована полностью, 🔥Новый, после ремонта",
https://krisha-photos.kcdn.online/webp/b9/b9e6a25b-91ee-4e2c-a705-0c16599da695/1-400x300.jpg,1-комнатная квартира · 44 м² · 8/10 этаж · помесячно,220 000 〒,"Наурызбайский р-н, Кенесары хана 54","жил. комплекс Хан Тенгри, меблирована полностью, Свежий ремонт новая техника, экологический чистый район, в 10 минут езды от парка первого президента и мега центра!",
https://krisha-photos.kcdn.online/webp/d7/d7ab5fce-f8a5-4e63-a537-c00456698aa7/4-400x300.jpg,1-комнатная квартира · 36 м² · 10/13 этаж · помесячно,260 000 〒,"Алмалинский р-н, Шевченко 109","жил. комплекс Palladium, меблирована полностью",
https://krisha-photos.kcdn.online/webp/c6/c692d7ff-b72a-487f-9e2d-619ee313982b/1-400x300.jpg,2-комнатная квартира · 45 м² · 5/5 этаж · помесячно,210 000 〒,"Ауэзовский р-н, мкр Аксай-1 21 — Толе би Саина","меблирована полностью, Удобное расположение. Общественный транспорт в любую сторону. Дом сейсмоустойчивый. депозит 50000",
https://krisha-photos.kcdn.online/webp/6a/6ae66b79-d558-41b9-922b-aa16b20a3196/10-400x300.jpg,2-комнатная квартира · 65 м² · 4/5 этаж · помесячно,200 000 〒,"Турксибский р-н, Чернышевского 25/3 13 — Сейфуллина","меблирована полностью, Сдается полноценная двух (2) комнатная квартира долгий срок. В квартире иммется всё для проживание. 1. Спальная комната: диван раскладушка размером двухспальной кровати, шифонер, клем, шторы, стол для компьютера, матрацы и корпешки. 2. Детская комната: две кровати для де…",
https://krisha-photos.kcdn.online/webp/e1/e1b6b215-93cd-4e18-b546-6bb6346b1139/6-400x300.jpg,1-комнатная квартира · 35 м² · 1/5 этаж · помесячно,165 000 〒,"Алмалинский р-н, Абая 163 — Угол Розыбакиева","меблирована полностью, Сдам 1-комнатную квартиру 📍 Район: Абая – Розыбакиева 🏠 Этаж: цокольный 💰 Цена: 165 000 тг/мес 🔹 Депозит: 70 000 тг (возвратный) 🔹 Развитая инфраструктура: рядом школы, садики, магазины, базар, оптовка. Все вопросы по телефону/Whatап",
https://krisha-photos.kcdn.online/webp/8b/8b2d7f79-20d9-4b94-bb40-1afd96d03694/1-400x300.jpg,2-комнатная квартира · 45 м² · 2/5 этаж · помесячно,250 000 〒,"Бостандыкский р-н, мкр Орбита-1 4 — Торайгырова Навои","меблирована полностью, Квартира в хорошем состоянии. Расположена во дворах. Полностью меблирована и вся техника. Рядом Мега центр, детсады, школа и мн до. Инфраструктура отличная",
